2020-09-15 08:42:09.343  INFO 10696 --- [main] .s.c.n.e.s.EurekaAutoServiceRegistration : Updating port to 8087
2020-09-15 08:42:09.356  INFO 10696 --- [DiscoveryClient-InstanceInfoReplicator-0] com.netflix.discovery.DiscoveryClient    : DiscoveryClient_EMPLOYEE-SERVICE/DESKTOP-KLJ2H36:employee-service:8087 - registration status: 204
2020-09-15 08:42:09.683  INFO 10696 --- [main] DeferredRepositoryInitializationListener : Triggering deferred initialization of Spring Data repositories…
2020-09-15 08:42:10.147  INFO 10696 --- [main] DeferredRepositoryInitializationListener : Spring Data repositories initialized!
2020-09-15 08:42:10.179  INFO 10696 --- [main] i.p.e.EmployeeServiceApplication         : Started EmployeeServiceApplication in 19.905 seconds (JVM running for 20.525)
2020-09-15 08:47:09.026  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 08:52:09.029  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 08:54:15.733  INFO 10696 --- [http-nio-8087-exec-10] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-09-15 08:54:15.734  INFO 10696 --- [http-nio-8087-exec-10] o.s.web.servlet.DispatcherServlet        : Initializing Servlet 'dispatcherServlet'
2020-09-15 08:54:15.890  INFO 10696 --- [http-nio-8087-exec-10] o.s.web.servlet.DispatcherServlet        : Completed initialization in 154 ms
2020-09-15 08:54:16.851  INFO 10696 --- [http-nio-8087-exec-10] i.p.e.controller.EmployeeController      : Delete All Employees with deptId ...
2020-09-15 08:54:20.892  INFO 10696 --- [http-nio-8087-exec-9] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:54:31.689  INFO 10696 --- [http-nio-8087-exec-8] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:54:51.467  INFO 10696 --- [http-nio-8087-exec-7] i.p.e.controller.EmployeeController      : Add Employee ...
2020-09-15 08:54:51.468  INFO 10696 --- [http-nio-8087-exec-7] i.p.e.controller.EmployeeController      : Getting an Employee with Id ...
2020-09-15 08:54:51.788  INFO 10696 --- [http-nio-8087-exec-5] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:54:59.039  INFO 10696 --- [http-nio-8087-exec-6] i.p.e.controller.EmployeeController      : Update Employee ...
2020-09-15 08:54:59.332  INFO 10696 --- [http-nio-8087-exec-4] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:55:06.382  INFO 10696 --- [http-nio-8087-exec-3] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:55:16.508  INFO 10696 --- [http-nio-8087-exec-2] i.p.e.controller.EmployeeController      : Deleting a single Employee with deptId and EmployeeId...
2020-09-15 08:55:16.784  INFO 10696 --- [http-nio-8087-exec-1] i.p.e.controller.EmployeeController      : Getting all Employees ...
2020-09-15 08:57:09.032  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:02:09.036  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:07:09.041  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:12:09.044  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:17:09.046  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:22:09.047  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:27:09.048  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:32:09.051  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:37:09.062  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:42:09.072  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:47:09.076  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:52:09.079  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 09:57:09.089  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 10:02:09.100  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
2020-09-15 11:06:08.002  WARN 10696 --- [HikariPool-1 housekeeper] com.zaxxer.hikari.pool.HikariPool        : HikariPool-1 - Thread starvation or clock leap detected (housekeeper delta=1h2m32s644ms339µs200ns).
2020-09-15 11:09:11.741  INFO 10696 --- [AsyncResolver-bootstrap-executor-0] c.n.d.s.r.aws.ConfigClusterResolver      : Resolving eureka endpoints via configuration
